Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
825000000;5;5;3;125;150;2;0;0
1400000000;4;4;2;182;150;1;0;1
1300000000;11;4;2;204;150;1;0;0
1800000000;2;3;3;184;150;1;0;0
3200000000;5;3;3;280;150;2;2;0
1800000000;6;3;4;148;148;1;0;0
1300000000;4;5;3;230;143;1;0;1
875000000;2;4;2;87;140;2;0;1
1300000000;2;3;2;136;136;1;0;0
9500000000;3;36;36;1266;1350;2;0;0
1200000000;3;3;1;114;133;1;0;0
1400000000;2;4;2;104;130;2;1;0
1100000000;2;4;3;112;130;2;0;2
1600000000;1;3;2;90;130;2;0;1
825000000;5;5;3;150;125;2;0;0
1600000000;2;4;3;106;125;2;0;0
1800000000;2;3;3;176;125;2;0;0
1800000000;3;3;2;151;120;1;0;1
1200000000;2;3;2;87;116;2;1;0
850000000;4;6;2;130;100;2;0;0
1000000000;2;4;2;167;100;1;0;0
1300000000;2;3;2;140;100;1;1;1
1500000000;2;3;2;136;100;2;0;0
925000000;3;3;2;90;100;2;0;0
12000000000;4;16;17;1396;1000;1;2;0
11500000000;4;15;13;1400;1000;1;2;0
2500000000;4;20;8;370;500;2;0;0
950000000;5;3;2;110;100;1;0;1
1500000000;13;5;2;146;180;2;0;1
2500000000;3;4;3;150;242;1;2;1
1900000000;3;4;3;176;270;2;0;0
1100000000;5;3;2;105;70;1;0;0
1500000000;5;3;2;100;124;2;0;0
4000000000;1;5;4;275;275;2;0;0
1900000000;1;4;4;115;163;2;2;0
5500000000;5;5;3;600;300;1;0;0
1500000000;5;4;2;350;150;1;0;0
6000000000;0;8;7;497;280;1;2;0
2200000000;2;9;4;238;263;2;1;0
1700000000;2;1;1;120;120;1;0;0
9400000000;8;5;3;550;300;2;0;0
965000000;1;3;3;165;250;2;0;0
699000000;13;2;1;90;70;2;0;0
6000000000;11;10;9;235;400;2;0;0
18000000000;8;6;3;820;300;1;0;0
14500000000;8;7;5;800;500;1;0;0
1500000000;5;3;2;154;120;1;0;0
6500000000;2;10;10;732;900;2;0;0
26500000000;8;4;3;894;600;1;0;0
3900000000;5;11;11;314;253;2;0;0
875000000;2;4;2;87;140;2;0;0
5000000000;7;3;2;472;425;1;0;0
1300000000;2;3;2;140;100;1;0;1
7400000000;5;10;8;1241;550;2;2;4
1800000000;2;4;3;151;260;2;0;1
600000000;8;3;3;89;89;2;0;0
3900000000;2;4;3;397;235;2;0;0
1500000000;2;3;3;120;100;2;0;0
5000000000;2;18;9;350;598;1;0;1
7000000000;8;8;2;521;420;1;0;0
2200000000;2;5;4;150;170;2;0;0
1600000000;9;3;2;178;100;2;0;1
2500000000;4;2;1;433;53;1;2;0
1800000000;3;4;4;140;100;2;0;0
700000000;4;3;1;92;80;1;0;0
7200000000;5;10;10;1241;350;1;0;0
1100000000;2;3;4;199;150;2;0;0
3400000000;5;3;4;472;300;1;0;0
7200000000;3;10;10;1241;350;1;0;0
4500000000;2;3;2;640;350;1;0;0
1000000000;1;3;1;120;90;1;0;0
6500000000;9;7;4;263;350;2;0;0
2500000000;4;20;8;500;370;2;0;0
2500000000;7;4;2;523;300;1;0;0
1600000000;5;3;3;236;215;1;0;0
4500000000;13;5;4;320;200;2;2;0
11500000000;4;15;15;1400;900;2;1;0
20000000000;7;8;6;851;700;1;1;0
5500000000;2;8;4;650;400;2;1;0
6000000000;4;6;6;380;400;2;2;0
5500000000;11;4;3;334;225;1;1;0
4800000000;7;5;5;350;250;2;1;0
3000000000;2;9;6;300;280;2;0;0
2500000000;2;4;4;216;350;2;0;0
1500000000;1;3;2;130;140;2;0;0
4200000000;5;11;7;704;300;2;0;0
2700000000;5;2;2;200;200;1;0;0
6500000000;9;7;4;263;350;2;0;0
750000000;2;3;1;108;75;1;0;0
3800000000;2;5;6;140;300;2;2;1
2600000000;2;4;4;138;140;2;0;0
8700000000;5;5;2;551;300;3;2;0
1500000000;5;2;2;144;75;1;0;0
2400000000;8;4;3;165;206;2;0;0
2900000000;8;4;3;189;220;2;0;0
1600000000;2;5;4;150;170;2;1;2
2000000000;2;4;3;170;150;1;0;2
1600000000;2;4;2;145;225;2;1;0
2900000000;2;4;3;330;75;1;0;0
2800000000;8;5;5;445;350;1;2;0
1000000000;2;3;2;111;58;1;0;0
1400000000;0;8;4;266;266;2;0;0
6300000000;8;12;12;505;350;1;0;0
10000000000;9;5;3;699;260;1;0;0
13000000000;4;18;18;1394;800;1;0;1
1700000000;2;3;3;133;125;2;0;1
3500000000;1;20;8;420;300;2;0;13
2000000000;11;10;10;177;250;2;2;0
25000000000;7;8;6;851;835;1;0;0
13000000000;11;5;7;550;850;2;1;0
1500000000;8;3;2;143;110;1;0;0
5000000000;7;7;3;600;250;1;0;0
1500000000;3;3;1;124;95;1;0;0
1100000000;0;3;2;133;90;2;0;0
1000000000;2;4;4;125;150;2;2;0
4500000000;1;5;3;460;330;2;0;0
3900000000;2;5;5;270;470;2;0;0
3500000000;2;11;5;491;400;2;0;0
13000000000;11;8;5;550;850;2;0;0
1600000000;4;2;2;248;120;2;0;0
5000000000;3;4;4;631;300;2;0;0
35000000000;8;6;4;890;400;1;0;0
6500000000;7;16;14;505;350;1;2;0
2900000000;2;4;5;250;245;2;0;0
3000000000;2;12;11;400;250;1;0;0
2400000000;5;5;4;150;200;2;0;0
3300000000;5;3;3;280;140;2;0;0
18000000000;8;6;3;820;300;1;0;0
22000000000;8;11;6;256;486;2;0;0
1700000000;4;4;3;249;150;1;0;0
3900000000;8;5;2;420;200;2;0;0
1400000000;5;7;2;132;150;2;1;0
6800000000;8;8;3;600;300;1;1;0
17000000000;2;11;9;2021;1000;2;0;0
5500000000;2;8;8;650;350;1;2;1
975000000;2;4;3;105;90;2;2;4
1600000000;8;3;3;150;112;2;0;1
1700000000;8;3;2;125;160;2;0;0
2500000000;7;4;4;149;200;2;2;0
4500000000;1;4;3;460;350;1;2;0
3500000000;9;3;2;215;215;2;0;0
3000000000;2;4;2;435;200;1;0;0
3500000000;11;10;7;389;400;2;1;0
16500000000;4;4;2;1172;1000;1;0;0
15000000000;2;14;17;1745;1400;1;0;0
4500000000;2;10;8;418;540;2;0;0
2200000000;4;16;5;378;300;1;0;1
2700000000;3;6;4;388;383;1;0;2
3800000000;7;3;3;304;180;1;0;2
3500000000;8;8;3;232;211;2;0;3
2500000000;3;6;4;329;289;2;2;2
9500000000;12;7;7;690;480;2;0;0
5200000000;12;13;8;418;540;2;0;0
2200000000;13;10;3;250;400;2;0;0
2600000000;7;4;3;242;150;1;0;0
1800000000;3;2;6;300;260;2;0;0
6100000000;3;6;6;315;350;2;0;0
2000000000;2;3;2;102;164;2;2;0
2100000000;2;3;4;113;130;2;2;0
